新闻ID,文本,标签
1241,2660 1299 1127 102 1126 102 2736 1121 1352 1438 987 2664 1546 1866 1538 2525 1843,1
1242,1576 1156 1126 1238 1592 1533 1735 681 2558 272 2299 313 2795 417 963 967 1203 1299 1491 1694 1112 238 833 1100 182 1642 2845 2558 210 688 1744 940,3
1243,1293 1061 1091 1537 1022 1456 292 1360 681 444 1243 2375 619 193 1465 2329 1298,1
1244,2070 1032 618 2660 539 344 2512 417 2475 259 2027 445 2155 1895 843 780 758 589 1744 2035 907 1255,3
1245,451 1128 758 2660 1212 314 1255 681 2749 2332 165 213 1752 1683 2275 1090 2438 1832 1223 1775 1987,1
1246,102 1583 102 1669 574 160 737 1042 1680 1288 1754 1857 1421 102 2716 1694 2784 2247 1564 1679,4
1247,1844 1583 695 1175 1521 1126 2677 2275 1665 630 1042 2213 2764 1178 2578 1662 1413,3
1248,1007 1655 102 2293 2192 2486 2018 2732 554 1110 2764 1598 1598 2151 2041 2196 1445 987 1939 2663 1843,4
1249,535 2178 2558 1520 1920 2031 417 1935 574 564 1042 2351 1438 829 1954 539 260 2141 1156 2764 2456 2660 1981 616 772 1245 1953 2530 2383 2716 115 2754 1935 2290,1
1250,134 1533 221 2371 1445 1491 2784 260 771 2706 1533 280 1680 824 824,1
1251,681 2558 2392 1487 602 418 1491 102 1475 1073 926 968 1775 2660 2130 1857 1421 1245 1679,3
1252,412 798 2275 228 417 444 1243 2584 1935 1731 2810 2335 634 1207 968 780 2365,3
1253,1837 992 587 1475 417 2275 2180 292 893 422 444 1243 2275 228 655 2784 2247 1917 2716,3
1254,102 771 319 2642 2706 797 1744 2754 2660 1122 2025 306 2558 534 417 1100 2019 1954 574 539 126 534 2546 1898 797 2706,1
1255,1025 2275 357 1521 417 421 132 1355 1575 1583 102 2716 587 132 1355 1575 1583 102 2716,3
1256,468 798 417 570 2140 2510 174 987 1223 1775 2027 1648,3
1257,1983 451 587 1475 417 1358 1020 1421 974 1244 102 412 319 965 102 412 319 424 1112 2275 228,3
1258,1268 385 2089 2801 1744 2479 742 554 2546 797 2706 987 782 2660 1532 1843,1
1259,2140 2706 1491 1866 148 1161 1282 2660 2663,3
1260,1981 1465 2329 1298 417 758 102 2604 1427 587 1475 102 1255 2057 981 1445 2808 2754 1947,4
1261,726 1615 2019 102 2481 447 1058 2845 2558 535 1648 2564 2228 574 539 678 1487 720 221 2250 1244,3
1262,1041 2584 1194 2449 102 1257 1291 1257 1320 2084 1965 2041 894 2578 1843 2064 2671 463,1
1263,412 771 2275 2659 674 1161 1853 618 2832 102 174 1249,1
1264,221 1044 2618 2823 1360 1947 1775 182 2727 570 2140 1926 2507 2810 2558 2236 1514 2412 2512 1618 2509 688,3
1265,2140 495 1264 1708 417 102 1360 2509 102 965 102 1491 102 1494 1257 2427 2664 2574 1775,4
1266,245 1269 1134 2324 2373 1288 509 1185 512 370 963 2642 1552 2063 2124 2324 2427 1775 2067,1
1267,855 1592 1708 2169 2564 1533 226 1921 417 2677 2275 997 1679 963 2126 264 404 2041 2027 1648 1404 2041 963 2642 1843,3
1268,2180 1723 160 1466 327 2130 1572 2399 424 1112 981 102 771 319 2189 869 424 1112 1866 148 974 170 1554 1143 302 2639,3
1269,2564 1533 2051 1156 1126 472 1630 2645 176 1996 2126 422 2808 2832 2213 1981 616 102 1615 1437 1207 2244,3
1270,2638 2677 2481 795 417 2493 957 512 370 2155 2146 1358 1020 1421 974 1244 1917 965 1265 771 319 424 1112 2275 228,3
1271,2747 1695 1661 2510 1409 2764 374 2647 1115 1491 2268 1775,3
1272,2345 2564 1533 2335 590 2437 2677 2275 587 1475 1267 807 2019 2677 2275 424 2832 1445 1491 327 1245 296 639 175 1786 894 2578 2027 1648 1843,3
1273,102 2275 1212 313 1678 1257 1291 2297 2508 175 102 2213 2304 2472 1935,1
1274,570 1926 1643 417 245 659 378 2180 977 408 1775 259 1546 1926 2507 1866 767 444 1243 788 102 2663 772 2802 2422 1648 2597 772 2802,3
1275,2784 260 2663 1533 1735 2027 1641 134 2058 2456 173 1346 2467 1648 417 1661 2192 1360 1947 1223 1775 2390 1276 630 1431 318 2390 1276 2820 797 2706 1491 272 1058 102 1232 1456 2047 1731,1
1276,1602 2717 417 485 2275 1978 173 1775 2275 2124 630 1360 681 2412 2299 293 1961 2422 932 1625 2783 1491 788 258 2041 1978 173 2694 1156,4
1277,1954 1978 102 1954 1735 209 1567 2665 1935 2660 1494 1442 1212 1857 1514 102 1583 102 412 319,1
1278,2345 1554 1143 495 2299 1267 635 539 2189 869 2043 1316 221 1437 1491 2399 2293 2027 681 2558 2536 390,1
1279,102 983 2067 814 940 1245 1857 2784 102 771 319 1161 2299 586 997 1265 412 771 319 175 1044,1
1280,1775 1201 472 1223 102 535 1139 2664 1775 1987 1491 758 394 1057 1255 987 2677 2140 1985 1978 385 1625 2427 2664 1103 1952,3
1281,1592 681 2666 302 2089 2375 1978 173 1491 758 2671 367 2375 1255 1042 2351 1249 635 1781 940 681,1
1282,102 238 1065 1905 1766 102 417 292 1860 1144 1533 1567 655 2784 2247 102 412 319,1
1283,2390 1276 2275 2569 455 417 1857 2392 102 197 968 1491 1268 385 389 1541 1609 1232 2569 455 1843,1
1284,940 2512 417 949 422 2810 2558 1257 1291 2297 2812 830 1456 2089 2247 1371 512 370 2146 788 1775 1475 1073 2546 1947 1223 1775 173 1827 2250 1323,4
1285,635 238 2043 1316 1976 968 1491 1554 1143 1947 1437 2392 896 797 2706 1996 2438,3
1286,2345 2318 132 1245 279 1267 509 1409 1100 1905 997 1491 2318 132 1178 2578 797 1843,1
1287,2345 1388 700 1245 1245 1576 1267 1079 1264 417 2757 2569 2410 293 1950 656 1993 1544 1491 1066 2626 1580 2474 296 2390 1860 902,1
1288,1625 2666 1600 1600 656 1491 1245 1679 1965 1251 692 298 1843,3
1289,2803 1328 102 1939 341 1194 1843,4
1290,2051 1156 2722 1121 1126 655 1424 1161 788 2660 535 2764 2132 1661 681 2025 1299 2493 1656 472 1269 1458 1950 1249 2832 2124 1775 2027 370,3
1291,1323 2018 681 2558 1017 535 313 721 335 417 635 1781 444 1243 2019 2371 611 772 804 650 1935 1313 1504 338 2558 1520 1615 1437 166 221,3
1292,2051 1156 2722 1121 1126 2224 2573 590 160 1320 2768 245 820 1156 2664 1194 2764 1554 1143 143 178 1662 1987,3
1293,1291 1504 700 2558 417 512 2275 2275 2180 292 1572 2399 1857 422 655 2784 2247 1575 1583 2383 2716 2275 228,3
1294,579 1270 2764 1025 2275 2278 2176 2213 2764 1412 2043 521 2084 1194 2764,3
1295,2564 1533 535 534 2812 571 1650 102 2716 1533 1996 1866 148 1069 2808 940 681,2
1296,2345 1245 1245 1576 1267 1723 2250 417 1661 2564 1533 1786 1680 2392 2639 2682 1491 1245 1679 1595 258 2536 1860 1843,3
1297,681 2558 2283 1341 692 2247 1491 1223 1775 700 1100 2823 758 2536 390 1369 409 1255 2764,3
1298,2345 240 1533 1936 1267 1020 175 1491 830 2189 204 2196 1775 968 2840 1178 2578 2274 1843,3
1299,1954 1978 102 1954 1735 209 1567 2665 1935 2660 1494 1442 1212 893 1699 2278 1583 102 771 319,1
1300,2564 1533 2051 1156 1126 2318 132 1161 1223 1775 1987 2764 596 1285 238 424 1978 2438 1669 2660 2677 2275 102 1642 2213,3
1301,983 2041 1891 422 655 618 2630 1843 1683 2660 1683 1080 1442 310 987 2086 2525 758 269 1255,1
1302,2027 1641 417 1866 148 2427 2664 859 2438 1416 2820 318 2558 1520 974 170 987 1210 742 913 589 1315,3
1303,2051 1156 2722 1121 1126 2706 327 1978 173 1950 656 655 1967 2764 1554 1143 1420 2213 311 967,3
1304,2345 2677 2275 1245 1521 1267 963 2126 264 404 1700 2019 1069 2808,1
1305,2345 1554 1143 495 2299 1267 102 1514 2412 776 490 2757 2788 173 1827,1
1306,1661 871 1156 2764 692 1866 2278 539 2784 1661 1262 1661 1022 1978 1491 1007 1532 1722 2510 767 1112,3
1307,602 375 2146 1003 247 2426 2191 2146 302 215 1731 1584 788 1102 1383 102 535 2299 2558 1520,3
1308,1576 1156 1126 1926 2507 1245 1576 1156 417 2383 126 1669 2660 1245 1494 2392 2642 1288 1754 965 102 1583 1575 2716 1491 2274 656 1926 2507 1554 1143 2764,3
1309,2677 2140 102 2768 1190 1475 1073 815 417 655 306 1765 2041 2790 857 2089 1194 1322 1494 1037 630 1781 1295 2613 2753 102,4
1310,2051 1156 2722 1121 1126 1262 1816 2350 783 475 175 1391 2757 2569 926 968 1732 1193 533 1533 1519 2801 1487 1207 2244,2
1311,238 2166 1524 772 2764 1600 1600 1360 2509,3
1312,2803 2422 1262 417 444 1243 1865 2018 1194 1805 1766 1057 1861 788 1731 2810 1642 2737 2508 175 2810 2532 259 2192,3
1313,2345 1661 1781 1411 2810 2558 589 1245 313 1267 102 1583 102 1583 102,4
1314,587 1475 681 2749 2392 1487 424 1639 2764 619 1025 2275 1404 2041 1843 2622 2744 2041 417 1007 860 639 2764,3
1315,2677 2275 574 1661 2275 132 2213 2784 1917 2716 1491 1252 1219 215 1978 2438 759 1068 1007 1655 1669 2660,1
1316,175 1786 2140 534 1965 2684 1475 1073 2754 1947,4
1317,1775 1952 700 2558 417 292 1139 102 412 319 965 102 412 319 424 1112 444 1243 2275 228,3
1318,625 2351 1978 173 424 1993 1538 2663 2275 444 1243 2810 2532 2274 1156 635 1843,1
1319,1649 2765 558 1805 2639 1350 1126 1252 1219 215 102 1661 1648 1513 2546 1491 2677 2275 587 1475 1100 2427 2664 2536 390 1843,3
1320,272 1978 102 2067 814 772 126 1857 1421 155 2823 2845 1298 2823 1978 173 238 639 926 2371,1
1321,1681 1225 885 417 2677 319 932 677 1122 102 1245 287 949 581 2146 1330 1679 1751 1179 1935 1827 1700 2274 2213,2
1322,570 1058 102 1291 1929 2275 1491 618 1245 2546 1144,1
1323,1430 1602 1077 417 318 1025 2275 2456 2130 758 587 1475 1990 1255 681 2749 2307 1445 1866 272 2774 987 874 2477,3
1324,1502 1649 587 1475 417 292 1139 1437 1533 1723 1696 1042 1112 1091 418 411 656 2051 2461 522 2275 228 1866 767 444 1243 102 2716 2275 625,3
1325,2275 2051 1156 1126 102 2205 1193 2764 539 2637 2823 1494 1567 166 210 102 771 1661 175,1
1326,2345 495 1245 2675 1267 1169 2664 1978 173 1947 148,2
1327,1731 1584 681 2558 574 737 313 1704 1166 1223 1775 700 1895 2512 1618 1978 173 2823 1704 1156,3
1328,940 2512 1775 2657 417 444 1243 1465 1885 1112 424 2057 2067 893 422 987 1265 412 2275 2275 228 1491 270 1500 1042 2351 258 1639 2202 1502 2810 2558 270 1866,3
1329,1252 1219 215 1310 2509 1775 987 102 102 726 1747 2419 2788,4
1330,2456 2663 1203 221 2371 2764 2013 221 935 444 1243,3
1331,1756 1262 715 417 1320 2089 655 989 197 663 1335 1641 2250 1491 102 965 2621 258 2823 1320 2089 1747 1865,4
1332,495 1003 570 1058 102 1291 1929 2275 137 2373 1538 684 797 2706 2314 1843 2064 2660 463,1
1333,1437 2454 1496 1592 166 210 102 2677 319 2317 1045 1243,2
1334,2760 942 2564 1533 1980 2481 1151 417 574 1661 302 2730 1333 1437 1491 1866 148 1787 1965 2536 390,3
1335,102 535 2140 2375 2390 1276 102 2606 102 1148 940 2213 1575 1583 102 2716,1
1336,2345 947 1533 802 279 1267 102 2660 1952 2660 539 758 2153 2776 1156 1255 1491 1268 385 2736 940 338 2056 1843,4
1337,1683 1445 1950 656 2764 2659 674 166 2449 1661 2213,3
1338,1025 2275 1978 173 758 2051 1255 797 2706 2307 1445 987 758 2021 1255 2479 1758,3
1339,2564 2515 2749 313 688 417 2454 1632 102 1270 1732 1445 336 952 1355 311 2764 490 2810 2845 1298 1933 1683 1550 2205,1
1340,1025 1494 270 292 509 290 758 485 1517 2756 1255 2275 940 1978 987 2196 290 2092 218,3
1341,1124 656 659 2018 2764 1176 132 102 1156 2764 1275 1965 1625 2774 639 2664 1194 1843,3
1342,2345 1042 2351 1568 313 1267 1494 1592 590 160 755 1042 827 619 1844 539 126 2064 102 463,1
1343,102 535 2275 535 313 2564 327 1102 1383 2638 572 2124 630 1950 910 965 102 1583 102 771,1
1344,2645 176 221 1437 2213 1996 1029 674 444 1243 2009 2810,3
1345,1987 757 1661 968 2116 1491 1775 302 2730,3
1346,2189 869 1813 2390 1360 1947 2027 2108 1554 1143 1694 1112 238 833 758 280 968 1255,3
1347,742 2512 1602 2181 1531 417 655 1764 120 915 1731 2455 1185 1475 1073 318 2810 2532 1491 997 1679 2647 651 1866 660 1020 102 2247 1371 512 370 2558 2788 987 2509 688,4
1348,1298 2558 681 2558 574 737 2299 160 313 1704 1156 1185 1437 1491 635 2663 444 1243 1090 1950 910 229 2164 1857 1421,3
1349,1203 2041 102 1843 866 1952 1518 1156 655 2660 2187 987,1
1350,1576 1156 1126 1731 1584 681 2558 2736 1121 1245 313 417 2422 385 570 700 1554 1143 2671 737 2299 1859 259 1866 1661 681 2749 1843,3
1351,102 1127 2242 1126 143 178 1404 2041 772 637 1843 102 987 2220 805 1661 655 2660 2187,1
1352,1514 2412 2832 2124 797 681 2558 2788 2509 688 2070 2215 1694 1112 238 833 2146 570 1695 758 221 2512 1255 788 2027 2108,3
1353,204 1693 2342 773 1566 2678 132 1781 1504 1754 940 2660 1747 2116 1212 940 2213 102 319 2317 2539,3
1354,1683 570 360 313 1126 1954 1978 422 2808 1662 2392 1223 132 2213 2784 1265 2716 2275 1550 1360 1388 1790 2275 2205 1193,3
1355,1752 1453 2170 1836 1723 805 974 494 1775 1914 2667 1723 2744 2678 1776 935 204 1693 424 1042 1475 1073 334 542 246 166 210,3
1356,726 1615 2783 2172 2465 2485 2564 102 2606 102 1148 1042 2213 1917 1583 102 2716,1
1357,499 1378 1781 587 780 1696 1360 2509 2536 272 1137 2810 2532 102 102,4
1358,2563 1212 2275 1422 102 758 1886 1533 1255 997 260 771 319,1
1359,2051 1156 2722 1121 1126 635 2663 940 1978 444 1243 102 2558 1520 313 1568 1554 1143 357 1445 2392 1487 2205 1193,3
1360,135 412 1151 1546 2375 2845 417 2621 126 1310 2509 1978 173 2820 2335 634 1981 630 692 1857 298 102 2167 1491 2405 1665 2089 2309 2274 507 1169 2264 2823 1775 1857 166 210,1
1361,554 2394 1007 1655 1895 2027 445 2155 2810 2558 1987 490 1491 1863 2180 1268 385 1360 2192 1843,4
1362,444 2208 1532 2189 2146 2360 534 2250 439 1532 2189 2516 2660 2584 1194 2449 2764 2456 490 221 830 1775 2067,3
1363,1554 1143 2427 1950 656 1416 2820 2764 1445 1978 1178 2578 2274 1843,3
1364,1646 1592 2275 228 417 2275 2180 2072 1022 2417 225 292 893 422 655 2784 2247 1917 2716 2275 228,3
1365,102 102 102 1360 2509,4
1366,175 1786 2019 2677 2140 1661 619 776 490 1935 1445 987 1564 1679 1438,2
1367,2564 2515 2749 313 688 417 1661 485 574 2176 2213 2764 2275 2335 590 175 1786 587 1475 1723 1744,1
1368,2677 2140 758 587 1475 1636 558 2077 1255 2043 859 2438 2247 1987 2047 1661 1355 570 2140 758 587 1475 1990 1255 681 2749 258 1312 2808,3
1369,1952 124 2569 1521 417 102 1156 1426 102 2051 1491 2318 132 1404 259 1069 2808 2213 1843,3
1370,758 2051 845 1255 655 1967 182 1360 2510 174 2639 2840 336 2820 2741 1144 1978 173 2155 1699 1194 2354 1674 1699 1194 1576 148 635 1194,2
1371,2657 451 1022 1665 124 2275 228 417 444 1243 692 2084 1679 1169 949 1818 987 2375 2788 327 1533 2373 2399 1533 1567 102 1583 102 771 319,3
1372,424 2832 2041 681 2749 2332 165 1843 1404 2041 1614 1856 1625 2027 1843,3
1373,758 2140 1065 655 293 1957 1255 2764 2810 2532 2335 590 2146 1456 634 2146 2546 1360 1007 1251 949 1449 2546 2158 1317 2114,3
1374,2318 132 1069 2808 1662 1987 1491 776 1271 2422 1708 1404 2041 1069 2808 1514 1856 1843,3
1375,2475 882 2289 1360 2509 2758 597 1642 2737 2247 1371 512 370 1232 2089,4
1376,2058 2694 758 102 2721 1269 1255 1491 1025 2275 1178 2578 797 1843,3
1377,204 935 681 2558 2812 1043 2546 688 1491 102 1895 2823 2694 1156,3
1378,587 1475 143 178 1312 2808 1491 2295 1415 1663 1404 2041 1300 1487 1161 1360 1843,3
1379,2564 2515 2749 313 688 417 1752 1683 2275 1661 1355 960 2549 2801 1487 1662 2392 1592 681 102 1069 2808 2715,1
1380,2156 2451 2819 102 726 190 1682 2371 1007 1532 1609 1618 2546 293,4
1381,758 1223 1255 1431 1579 2390 1276 2810 2532 2067 814 215 102 771 319 1491 2810 2532 576 1431 655 1967 798 1466,1
1382,204 1693 681 2558 1465 1179 1935 681 417 1775 259 1546 1926 2507 2329 1269 1223 1775 1987 1491 2801 336 445 221 1044 2392 1023,3
1383,2121 2672 587 1475 417 1462 618 102 840 1345 2027 445 2155 940 287 960 2308 1389 2545 1115 259,4
1384,1298 2558 681 2558 1735 2706 967 1299 417 2537 2276 1161 1735 2706 182 175 1786 1491 1978 173 1317 2114 974 2412,3
1385,2345 2677 2275 1245 1521 1267 1787 1965 2536 390 2764 2677 2275 238 424 940 2213 1320 1313,1
1386,2079 1965 424 1193 666 2573 2536 1860 1491 2422 385 2489 2251 817 2449 641 238 1843 1945 616 2617 1631 221 2019 1538 1328 1843,3
1387,2621 1583 102 1212 260 412 2712 2116 2141 1709 1126 238 1856 987 1661 2213 2764 866 1952 1661 1077 1661 740 2660 173 2764,3
1388,2345 1801 1260 2437 1267 2205 1193 1491 2041 1252 1219 215 1020 707 2418 1110 2751 1843,3
1389,635 490 2795 2637 2784 290 1458 1950 1249 1491 238 2505 758 1844 1255 1625 726,3
1390,1491 939 1783 2660 2785,3
1391,102 2275 1212 313 1678 1533 1735 587 1475 2508 175 102 1642 2213 1978 173,1
1392,2345 1978 173 2412 2361 1267 758 1805 2348 1255 1491 1866 1538 2525 1416 2820 2682 1843,3
1393,132 1781 115 1987 424 776 1491 755 2840 204 1693 2146 2075 314 1642 2213 1491 2504 539 2155 2712 2116 2479 2816,3
1394,1576 1156 1126 681 2558 1245 313 417 221 2512 2668 2299 1857 1514 1491 1661 2532 2541 296 1661 1978 173,3
1395,2715 1550 987 102 1491 331 2664 894 2578 2187 987 797 2706 1031 1064 1843,4
1396,204 2455 1775 2732 1156 417 102 2146 1661 2266 758 963 588 1255 1190 449,4
1397,336 1437 296 2390 1193 154 2764 1592 681 2051 926 424 1112 2558 2788,2
1398,1602 1077 1920 451 417 444 1243 2810 2532 507 1169 1232 2089 2228 102 102 2146 102 1723 1744,4
1399,204 2192 1330 838 2570 1862 2269 1747 1298 2558 258 197 767 370 2089 204,3
1400,758 319 535 1255 1140 1445 1491 1731 2823 1696 102 1203 258 1662 1744 385 1723 417 635 814 2840 2146 2546 1546 2820 2146 2392 2400 912 2823 175 295 1523,4
1401,1243 2677 2126 654 1512 2456 1408 2715 1491 1404 259 758 1156 1426 1255 1554 1143 987 2051 2749 2751 1843,3
1402,602 375 2140 957 417 292 1265 1583 102 771 257 319 221 1144 872 2381 428 2090 2155 1592 681 2558 2788 444 1243 2383 1583 2621 2716 2275 228,3
1403,2146 587 1475 2146 2510 174 204 935 788 2196 1775 1576 1156 2322 374 942 2656 785,3
1404,1996 2126 1832 1223 1775 1987 797 2706 2041 2790 692 758 1987 655 1859 2814 1255,2
1405,574 1251 2092 417 949 422 2140 574 2146 2140 457 969 293 2172 659 634 1456 2454 2507 313 1612 2634 1775,2
1406,1554 1143 2801 1487 1662 2392 2764 132 1781 1683 570 928 1194 1203 928 1491 1445 1978 1178 2578 2274 1843,3
1407,1723 780 1058 2845 417 102 1388 1790 1978 173 258 1292 1437 559 2412 1857 1421 2048 2840,4
1408,2196 1775 1007 1655 102 102 1232 2089 1524 772 1360 2509 412 1014 587 1475 1462 618 102 1583 102 940 1524,4
1409,2345 2564 1533 2335 590 2437 2318 913 215 1862 1267 2318 132 424 2832 1866 1156 1652 1491 2677 2275 587 1475 1404 259 2213 2751 1843,3
1410,1025 2275 102 417 758 926 1549 1255 1491 2634 2484 221 1775,3
1411,2276 2180 2346 1003 2192 926 758 412 580 2399 1435 1255 1491 1648 1268 385 2324 2394 2176 750 681 2558 1843,3
1412,257 301 1648 292 1609 570 2140 204 968 2507 1215 1987 1567 2536 1614 2232 1391 570 2140 1874 347 1648 424 1232,3
1413,2512 1044 1722 2510 1695 2558 1112 537 1089 796 767 370 2512 2537 528 1978 1100 258 2736 2754 293 624 2832 512,3
1414,2564 2228 1360 1947 302 2639 668 2484 859 2438 424 1193 1844 2663 655 618 1134 1859 1860 2375 1860 2275 1996,3
1415,797 2706 2390 1276 2275 1491 1804 881 987 1042 2351 660 1538 1328 2664 1413,1
1416,2345 1554 1143 1914 1297 1267 2140 534 1618 102 2293 2192 296 2390 902 2169 1491 2140 2810 2645 176 228 1567 1866 148 2665 559 1857 1421,4
1417,1952 124 2512 1618 417 2677 2275 2422 894 2578 2832 2124 1843,3
1418,2456 2663 2706 912 1491 2768 246 2536 117,3
1419,1058 2845 166 2449 2205 1193 2764 1360 1731 894 2578 1194 1843,3
1420,1618 2706 2027 1641 940 2832 570 2140 102 1857 2412 1564 1679 2189 869 2043 1316 655 1967 1665 2058,3
1421,102 213 1625 1060 537 102 2360 2764 1867 490 1112 124 1161 1437 1491 535 534 635 490 624 993 767 1112 2757 2569,3
1422,1844 1583 102 1175 1521 1126 780 1696 1310 2509 2764 1007 2192 1031 968 2764,3
1423,210 647 1625 2141 417 102 1895 1223 1775 700 589 2130 1976 968 618 987 1775 447 319,3
1424,2564 1533 2051 1156 1126 574 1251 2092 221 2371 102 1161 2427 1950 656 2764 102 2213 997 1844 2716,4
1425,587 1475 1628 1955 182 1642 2677 880 967 1066 1491 2483 2677 2275 228 1161 1223 1206 1520,4
1426,574 1661 1456 634 1298 2275 1996 2563 1212 1291 1977 1662 2392,3
1427,2677 2140 1630 2018 1100 238 859 1843 1533 1996 1987 2802 143 178 102 213 2213,2
1428,2383 1583 102 1175 1521 1126 1245 574 1178 2578 1662 1843 1661 1077 1079 940 2795 144 2379,3
1429,2278 1583 1265 1212 260 412 2493 1683 1126 655 788 1194 2764 1661 1077 866 1952 1531 1856 2456 539 1723 1744 2764,3
1430,2043 755 1765 2706 2810 893 2438 655 804 2141 788 2575 2475 1042 1863 2180 1058 2400 688 645 1064 2448,3
1431,2274 656 1533 1996 940 2213 1766 2666 444 2405 2509 688 2732 1313,2
1432,1025 2275 357 1521 417 421 1731 132 1781 2213 1917 1583 102 2716,3
1433,866 1212 602 1683 417 2645 176 2392 1487 1639 2664 1491 1222 1074 1840 186 1554 1143 1929 1142 940 2213,3
1434,602 375 197 2832 221 940 1058 102 1491 2135 495 890 2191 2146 1592 2135 2564 1533 1652 1194 2751 1843,3
1435,1863 2180 367 1756 588 977 1020 707 417 2493 512 2155 2397 2327 1008 1291 1491 2015 777 1350 1918 1064 912 590 2684 758 1140 1445 639 2055 2217 2660 618 1255,3
1436,1025 2275 534 2275 422 2808 1662 2392 1491 2657 451 102 570 2140 2213 2784 102 2716,3
1437,102 815 1310 509 1996 1491 102 102 1445 1976 1135 1144 2621 1583 102 412 2677 319,3
1438,102 1127 2242 1126 1103 338 422 2275 1404 2041 422 1632 1843 1538 2525 102 1859 259 1648 1866 1535 2411 1843,1
1439,1985 1978 871 1156 221 1437 1491 1330 932 424 1993 1404 2041 1805 780 1662 221 290 1386 1843,3
1440,2275 2051 1156 1126 2823 1494 817 2395 2715 1550 2764 102 2196 1775 2067 814 2784 102 771,1
1441,2297 2126 1494 1442 2493 2712 1664 1371 1678 660 1575 2546 1898 1127 2297 2126 1494 1442,1
1442,1089 2250 1251 2196 1775 1360 2775 417 2656 260 2160 1494 1194 1152 1491 2490 1232 989 1284 2084 2764,3
1443,534 1080 1223 2116 1775 447 319 102 258 102 2826 1947 298 2455 1185 1642 2737,4
1444,1025 2275 1978 173 602 418 1976 968 2192 2290 381 1491 2646 2335 2532 745 102 132 1781 473 1122 1695 1043,3
1445,468 2115 697 417 1408 655 1239 2823 1792 987 102 1475 1073 797 1680 1533 1735 1100 293 1661 1437 1866 963 2642 2810 1731 1775 963 2642,4
1446,681 2558 1245 313 2064 102 1583 102 965 102 1583 102 463,3
1447,2760 942 2564 1533 312 2223 2223 417 2058 2694 1245 1679 1965 1251 987 204 1693 2366 2828 1491 2475 259 1926 2507 1100 258 2536 390,3
1448,2564 1533 2051 1156 1126 695 126 2329 1144 1567 1857 997 102 2716 2764 1981 616 102 245 1269 2213 311,3
1449,570 2140 204 1693 843 1298 1981 1276 1007 1655 1978 173 1491 1212 1755 228 1567 422 2808 618 1387,3
1450,102 570 2140 2335 1812 274 233 417 1947 896 2783 1333 1207 2192 1300 968 259,4
1451,2801 1978 1090 537 1680 2764 2027 1641 2706 1533 221 2371 1194,1
1452,1535 2411 1491 2784 102 771 319,1
1453,963 2557 1661 987 2677 319 2375 1491 2379 1805 987 1194 1914 2751 1843 1678 797 2564 470 232,1
1454,102 1583 102 1175 1521 1126 2437 656 987 587 1475 681 2749 2764 2027 1641 936 2220 1987 1480 2764,3
1455,2660 1299 1127 102 1126 894 2578 2041 102 987 1437 1533 822 726 1843,1
1456,1025 2275 2659 143 1491 424 1112 936 1832 1223 1903 1001 1775 1987,3
1457,2051 1156 2722 1121 1126 421 132 1042 2213 1917 1583 102 2716 1042 602 1265 412 1156 587 1475 2275 1007 1532 2536 390,3
1458,1681 1225 885 417 1212 534 258 2427 2660 1431 1579 1781 1295 318 756 1350 2146 1700 1866 1161 2814 1193 1564 1679,2
1459,866 535 1139 2664 318 1025 2275 2546 1031 987 587 1475 1990 1700 258 1312 2808 681 2749 2307 1445 1866 272 2774 874 2477,3
1460,102 535 131 2489 2422 114 1491 2456 2663 444 1243 2701 644 1517 1517 1775 259 1546 788 635 2107 287 2509 688,3
1461,2051 1156 2722 1121 1126 1025 2275 1161 2299 424 2832 1491 421 1731 587 132 1661 1355 1844 2716 2453 1680 1475 1073 2783 1314 1978,3
1462,2546 102 635 2663 751 1649 580 1491 940 1978 1935 635 1853 2141 1535 1491 1245 2132 2592 115 1315 102,2
1463,2512 1618 1775 259 1546 2507 1595 258 767 1112 2764 1912 1935 1625 1156 1491 2141 1433 797 2706 1100 2041 655 291 619 2838 1843,1
1464,2345 2375 1978 2291 2303 1615 1267 2375 1978 2124 630 213 2291 1952 1491 1615 1437 2665 656 2064 102 126 102 1212 463,1
1465,1025 2275 960 2549 2275 1683 570 1662 1987,3
1466,1025 2275 1330 287 2205 1193 1491 421 1731 1257 1291 2297 102 2064 102 463 2213 997 1265 2716,3
1467,866 1212 574 1661 132 1781 1665 630 1661 2536 390 1978 173 2141 1540 457 1661 1412 2043,3
1468,2275 2677 2275 1683 1935 2350 2213,2
1469,570 2140 302 1320 1147 258 1532 1744 204 1693 788 238 1156 681 2558 926 2754 2810 2532 1781 1411 536 432,3
1470,2810 2558 102 2606 102 1148 940 2213 1265 1583 102 2716 1491 115 1315 1844 2176 2213,3
1471,2345 1245 1245 1576 1267 2140 2810 102 2051 967 1312 2808 1491 1554 1143 259 2790 758 2284 2213 333 1987 1255,3
1472,2345 495 1245 2675 1267 1169 2664 1978 173 1947 148,2
1473,2646 1212 602 1683 417 1554 1143 1929 1142 2051 1156 1491 451 1128 1925 2273 1131 1194 2660 1131,3
1474,272 1494 270 758 102 681 968 2416 1662 2754 102 2663 634 2558 1251 1255 2768 2442 1207 968 401 2094 106 1461,1
1475,2345 1978 173 2741 2591 1776 1267 788 2484 1978 173 302 2639 1161 2299 708 2058,3
1476,2659 2155 2297 2221 417 102 535 634 1042 1288 1754 1857 380 102 2716 1007 2192 1228 2835 102 845 967,4
